dt,co,no,no2,o3,so2,pm2_5,pm10,nh3,aqi
1606266000,727.65,3.07,11.14,10.1,2.53,22.03,29.62,7.09,3
1606269600,761.03,5.7,13.54,15.38,5.96,21.35,31.4,9.5,3
1606273200,934.6,8.27,21.25,25.03,12.52,26.29,39.77,12.79,4
1606276800,594.14,3.8,15.42,76.53,12.99,20.08,28.83,7.28,3
1606280400,560.76,2.12,14.4,135.9,18.6,34.19,43.1,6.65,4
1606284000,654.22,2.01,19.19,191.69,35.76,63.55,73.7,7.28,5
1606287600,654.22,0.77,23.99,197.41,44.35,70.69,80.74,7.16,5
1606291200,627.52,0.69,29.82,165.94,42.44,55.14,65.3,7.28,5
1606294800,600.82,0.59,33.59,137.33,37.19,41.74,52.3,7.79,4
1606298400,667.57,0.48,38.04,103,26.46,34.72,46.3,13.3,4
1606302000,881.2,0.04,42.5,67.95,16.93,36.74,50.34,20.52,4
1606305600,1094.82,0,41.13,45.78,10.49,41.69,56.62,22.04,4
1606309200,1295.09,0.01,43.53,28.25,7.63,47.45,65.88,17.23,4
1606312800,1575.47,0.46,50.72,11.44,9.06,58.5,84.09,14.06,5
1606316400,2056.12,6.09,55.52,0.98,14.78,78.84,112.64,11.91,5
1606320000,2616.88,20.56,47.3,0.01,14.31,107.55,147.26,10.51,5
1606323600,3204.35,38.89,36.67,0,11.33,140.2,183.43,11.91,5
1606327200,3791.81,57.22,31.87,0,10.01,174.84,222,15.45,5
1606330800,4219.06,69.74,28.1,0,6.8,205.23,255.65,18.49,5
1606334400,4539.49,74.21,23.99,0,4.11,225.52,274.91,15.07,5
1606338000,4592.9,71.53,23.99,0,3.31,231,275.21,11.78,5
1606341600,3845.22,41.57,41.13,0,4.53,173.84,206.98,10.01,5
1606345200,2777.1,22.8,34.96,0,3.07,117.73,140.05,9.25,5
1606348800,1815.8,11.4,26.73,0.62,2.71,71.89,85.96,10.77,5
1606352400,921.25,3.33,18.51,9.03,2.95,32.65,41.25,10.13,4
1606356000,774.38,4.86,15.08,16.27,4.65,24.09,33.13,11.65,3
1606359600,814.44,5.36,15.59,27.18,5.84,23.42,33.63,13.3,3
1606363200,574.11,1.82,10.11,53.64,4.23,16.9,23.59,8.36,2
1606366800,473.98,0.8,7.63,73.67,2.92,14.95,20.82,6.84,2
1606370400,480.65,0.87,10.97,89.41,6.62,17.97,25.36,6.9,2
1606374000,487.33,0.77,13.88,101.57,12.04,21.27,29.36,6.65,3
1606377600,487.33,0.49,15.77,105.86,14.07,21.85,29.1,6.52,3
1606381200,514.03,0.23,21.25,101.57,17.41,23.42,30.64,7.22,3
1606384800,654.22,0.05,34.96,85.12,23.6,30.06,38.83,12.16,4
1606388400,974.66,0,55.52,60.08,32.9,47.81,60.11,20.77,4
1606392000,1375.2,0,68.55,43.27,39.1,80.62,97.03,25.84,5
1606395600,1789.09,0.01,77.46,25.39,31.95,110.08,130.25,24.57,5
1606399200,2082.82,0.23,78.83,10.01,19.55,119.34,141.74,20.52,5
1606402800,2269.75,1.54,73.34,2.39,12.16,122.14,146.24,17.23,5
1606406400,2349.85,3.97,65.12,0.34,8.35,127.53,152.68,15.83,5
1606410000,2429.96,6.15,58.95,0.04,6.26,135.15,160.58,14.31,5
1606413600,2590.18,9.16,54.15,0,4.95,149.34,174.43,13.05,5
1606417200,2670.29,9.95,50.04,0.01,4.35,149.98,173.01,12.41,5
1606420800,2403.26,7.71,44.55,0.08,3.52,122.62,140.91,11.53,5
1606424400,1815.8,4.3,35.3,0.61,2.56,80.85,93.47,11.53,5
1606428000,988.01,0.47,23.65,6.62,2.62,34.99,42.36,10.13,4
1606431600,660.9,0.21,17.99,9.57,3.93,20.81,26.42,9.75,3
1606435200,567.44,1.36,14.91,11.8,5.25,16.96,22.57,9.75,2
1606438800,634.19,7.04,14.4,15.38,10.73,19.41,27.48,10.13,2
1606442400,934.6,16.09,25.02,18.95,25.51,33.03,46.07,12.67,4
1606446000,1428.6,22.58,56.21,37.19,54.84,66.27,86.49,15.58,5
1606449600,1575.47,9.28,94.59,65.09,76.29,109.72,132.88,11.15,5
1606453200,1668.93,5.09,101.45,91.55,76.29,134.69,159.69,10.01,5
1606456800,1695.63,4.25,105.56,92.98,82.02,123.15,148.21,11.53,5
1606460400,1308.44,2.35,85.68,90.12,71.53,81.23,100.93,10.64,5
1606464000,1014.71,0.98,66.49,88.69,55.31,56.8,72.05,9.37,5
1606467600,881.2,0.31,55.52,89.41,44.82,47.15,60.2,9.12,4
1606471200,1108.17,0.07,56.89,64.37,28.85,51.89,66.3,21.53,5
1606474800,1602.17,0.01,69.23,29.33,19.07,71.56,89.9,36.99,5
1606478400,2029.42,0.63,80.2,8.14,15.5,91.24,114.18,44.08,5
1606482000,2403.26,5.81,83.63,0.33,13.71,107.91,135.65,45.09,5
1606485600,2750.4,13.41,74.03,0.01,10.25,126.7,157.68,34.45,5
1606489200,3017.43,17.21,63.75,0.02,7.75,137.99,168.27,24.07,5
1606492800,2323.15,2.91,54.84,3.67,6.26,98.57,117.37,18.49,5
1606496400,1482.01,0.05,33.93,16.63,3.73,56.45,67.54,16.09,5
1606500000,781.06,0,19.19,27.9,2.53,27.17,34.32,14.82,4
1606503600,423.91,0,10.28,37.91,2.83,13.11,16.79,9.75,2
1606507200,397.21,0,8.48,39.7,2.12,11.89,14.98,10.13,2
1606510800,407.22,0,8.65,37.91,1.91,12.38,15.53,10.13,2
1606514400,420.57,0,9.68,35.05,2.15,12.75,16.15,9.5,2
1606518000,420.57,0,9.17,35.05,2.18,12.16,15.49,8.49,2
1606521600,420.57,0.27,7.63,37.19,1.94,11.11,14.27,7.47,2
1606525200,427.25,1.36,6.51,41.49,2.27,9.99,13.44,6.52,1
1606528800,473.98,2.15,7.8,49.35,4.29,10.73,15,6.84,2
1606532400,514.03,2.18,9.68,70.1,7.45,13.71,18.63,6.78,2
1606536000,423.91,0.8,7.11,90.12,6.62,12.12,15.53,4.24,2
1606539600,403.88,0.68,7.28,95.84,7.27,11.7,14.77,3.83,2
1606543200,417.23,0.82,9.43,98.71,10.37,12.8,16.1,4.05,2
1606546800,473.98,0.82,12.68,97.28,11.92,14.85,18.56,6.9,2
